edge_kind	source	target	source_file	target_file	source_line	target_line	edge_line
calls	class:UIColor	enum_member:TextFormatStrategy::uppercased	JobsByPods/BRPickerViewSwift@Pods/Extensions/BRColorHex.swift	JobsByPods/JobsSwiftBaseTools@Pods/TextInputStrategies.swift	12	18	14
calls	method:BRiOS12SafePickerReload::reload	function:br_on_main_async	JobsByPods/BRPickerViewSwift@Pods/Extensions/BRiOS12SafePickerReload.swift	JobsByPods/BRPickerViewSwift@Pods/Extensions/BRDispatch.swift	14	12	15
calls	method:BRAreaPicker::buildContentView	method:BRAreaPicker::applyPendingSelectionIfNeeded	JobsByPods/BRPickerViewSwift@Pods/Picker/BRAreaPicker.swift	JobsByPods/BRPickerViewSwift@Pods/Picker/BRAreaPicker.swift	42	175	50
calls	method:BRAreaPicker::pickerView	method:BRiOS12SafePickerReload::reload	JobsByPods/BRPickerViewSwift@Pods/Picker/BRAreaPicker.swift	JobsByPods/BRPickerViewSwift@Pods/Extensions/BRiOS12SafePickerReload.swift	106	14	119
calls	method:BRAreaPicker::pickerView	method:BRiOS12SafePickerReload::reload	JobsByPods/BRPickerViewSwift@Pods/Picker/BRAreaPicker.swift	JobsByPods/BRPickerViewSwift@Pods/Extensions/BRiOS12SafePickerReload.swift	106	14	120
calls	method:BRAreaPicker::pickerView	method:BRiOS12SafePickerReload::reload	JobsByPods/BRPickerViewSwift@Pods/Picker/BRAreaPicker.swift	JobsByPods/BRPickerViewSwift@Pods/Extensions/BRiOS12SafePickerReload.swift	106	14	133
calls	method:BRAreaPicker::pickerView	function:br_on_main_async	JobsByPods/BRPickerViewSwift@Pods/Picker/BRAreaPicker.swift	JobsByPods/BRPickerViewSwift@Pods/Extensions/BRDispatch.swift	106	12	139
calls	method:BRAreaPicker::pickerView	method:BRAreaPicker::applyRowColor	JobsByPods/BRPickerViewSwift@Pods/Picker/BRAreaPicker.swift	JobsByPods/BRPickerViewSwift@Pods/Picker/BRAreaPicker.swift	106	200	141
calls	method:BRAreaPicker::pickerView	method:BRAreaPicker::applyRowColor	JobsByPods/BRPickerViewSwift@Pods/Picker/BRAreaPicker.swift	JobsByPods/BRPickerViewSwift@Pods/Picker/BRAreaPicker.swift	106	200	142
calls	method:BRAreaPicker::pickerView	function:contains	JobsByPods/BRPickerViewSwift@Pods/Picker/BRAreaPicker.swift	TODO/Unity/xcode_effectTest/Il2CppOutputProject/IL2CPP/external/mono/mono/metadata/w32file-unix-glob.c	106	214	146
calls	method:BRAreaPicker::pickerView	method:BRAreaPicker::applyRowColor	JobsByPods/BRPickerViewSwift@Pods/Picker/BRAreaPicker.swift	JobsByPods/BRPickerViewSwift@Pods/Picker/BRAreaPicker.swift	106	200	155
calls	method:BRAreaPicker::pickerView	function:contains	JobsByPods/BRPickerViewSwift@Pods/Picker/BRAreaPicker.swift	TODO/Unity/xcode_effectTest/Il2CppOutputProject/IL2CPP/external/mono/mono/metadata/w32file-unix-glob.c	106	214	155
calls	method:BRAreaPicker::pickerView	method:BRAreaPicker::applyRowColor	JobsByPods/BRPickerViewSwift@Pods/Picker/BRAreaPicker.swift	JobsByPods/BRPickerViewSwift@Pods/Picker/BRAreaPicker.swift	106	200	158
calls	method:BRAreaPicker::pickerView	function:contains	JobsByPods/BRPickerViewSwift@Pods/Picker/BRAreaPicker.swift	TODO/Unity/xcode_effectTest/Il2CppOutputProject/IL2CPP/external/mono/mono/metadata/w32file-unix-glob.c	106	214	158
calls	method:BRAreaPicker::pickerView	method:BRAreaPicker::applyRowColor	JobsByPods/BRPickerViewSwift@Pods/Picker/BRAreaPicker.swift	JobsByPods/BRPickerViewSwift@Pods/Picker/BRAreaPicker.swift	106	200	165
calls	method:BRAreaPicker::pickerView	function:contains	JobsByPods/BRPickerViewSwift@Pods/Picker/BRAreaPicker.swift	TODO/Unity/xcode_effectTest/Il2CppOutputProject/IL2CPP/external/mono/mono/metadata/w32file-unix-glob.c	106	214	165
calls	method:BRAreaPicker::pickerView	method:BRAreaPicker::confirmSelection	JobsByPods/BRPickerViewSwift@Pods/Picker/BRAreaPicker.swift	JobsByPods/BRPickerViewSwift@Pods/Picker/BRAreaPicker.swift	106	59	170
