source_module	target_module	edge_kind	weight
JobsSwiftBaseConfigDemo	JobsByPods/JobsByUIKit@Pods	calls	2556
JobsSwiftBaseConfigDemo	JobsByPods/JobsSwiftDSL@Pods	calls	1427
JobsSwiftBaseConfigDemo	JobsByPods/ManualBySwiftPods@Pods	calls	868
JobsSwiftBaseConfigDemo	JobsByPods/JobsBy3rdTools@Pods	calls	489
JobsByPods/JobsByUIKit@Pods	JobsByPods/JobsSwiftDSL@Pods	calls	245
JobsByPods/JobsByUIKit@Pods	JobsByPods/ManualBySwiftPods@Pods	calls	232
JobsSwiftBaseConfigDemo	JobsByPods/JobsNavBar@Pods	calls	198
JobsSwiftBaseConfigDemo	JobsByPods/JobsProgressBar@Pods	calls	126
JobsSwiftBaseConfigDemo	JobsByPods/JobsSwiftBaseDefines@Pods	calls	118
JobsSwiftBaseConfigDemo	JobsByPods/JobsRefresher@Pods	calls	88
JobsSwiftBaseConfigDemo	JobsByPods/JobsSwiftTaskCenter@Pods	calls	75
JobsByPods/JobsBy3rdTools@Pods	JobsByPods/JobsSwiftDSL@Pods	calls	72
JobsByPods/JobsSwiftDSL@Pods	JobsByPods/ManualBySwiftPods@Pods	calls	65
JobsSwiftBaseConfigDemo	JobsByPods/BRPickerViewSwift@Pods	calls	59
JobsByPods/JobsByUIKit@Pods	JobsByPods/JobsSwiftBaseDefines@Pods	calls	52
JobsSwiftBaseConfigDemo	JobsByPods/JobsNetworking@Pods	calls	52
JobsByPods/JobsBy3rdTools@Pods	JobsByPods/JobsByUIKit@Pods	calls	51
JobsSwiftBaseConfigDemo	JobsByPods/JobsTextTools@Pods	calls	51
JobsByPods/JobsByUIKit@Pods	JobsByPods/JobsSwiftTaskCenter@Pods	calls	46
JobsByPods/JobsInheritance@Pods	JobsByPods/JobsSwiftDSL@Pods	calls	43
JobsSwiftBaseConfigDemo	JobsByPods/JobsInheritance@Pods	calls	43
JobsByPods/JobsSwiftTaskCenter@Pods	JobsByPods/ManualBySwiftPods@Pods	calls	36
JobsSwiftBaseConfigDemo	JobsByPods/JobsMarqueeView@Pods	calls	35
JobsByPods/BRPickerViewSwift@Pods	JobsByPods/ManualBySwiftPods@Pods	calls	34
JobsByPods/JobsInheritance@Pods	JobsByPods/JobsByUIKit@Pods	calls	33
JobsSwiftBaseConfigDemo	JobsByPods/JobsSwiftFoundation@Pods	calls	30
JobsByPods/JobsSwiftBaseDefines@Pods	JobsByPods/ManualBySwiftPods@Pods	calls	29
JobsByPods/JobsInheritance@Pods	JobsByPods/ManualBySwiftPods@Pods	calls	26
JobsByPods/JobsRefresher@Pods	JobsByPods/JobsByUIKit@Pods	calls	26
JobsByPods/JobsBy3rdTools@Pods	JobsByPods/ManualBySwiftPods@Pods	calls	23
JobsByPods/JobsSwiftTools@Pods	JobsByPods/JobsSwiftBaseDefines@Pods	calls	22
JobsByPods/JobsByUIKit@Pods	JobsByPods/JobsNavBar@Pods	calls	20
JobsByPods/JobsProgressBar@Pods	JobsByPods/JobsSwiftDSL@Pods	calls	20
JobsByPods/JobsSwiftAppTools@Pods	JobsByPods/JobsSwiftFoundation@Pods	calls	20
JobsByPods/JobsByUIKit@Pods	my_flutter	calls	19
JobsByPods/JobsSwiftAppTools@Pods	JobsByPods/JobsByUIKit@Pods	calls	19
JobsSwiftBaseConfigDemo	JobsByPods/JobsSwiftAppTools@Pods	calls	19
JobsSwiftBaseConfigDemo	JobsByPods/JobsSwiftTimerMgr@Pods	calls	19
JobsSwiftBaseConfigDemo	JobsByPods/JobsSwiftWorker@Pods	calls	19
JobsSwiftBaseConfigDemo	JobsByPods/JobsSwiftTools@Pods	calls	17
JobsByPods/JobsByUIKit@Pods	JobsByPods/JobsBy3rdTools@Pods	calls	16
JobsByPods/JobsSwiftFoundation@Pods	JobsByPods/JobsNetworking@Pods	calls	16
JobsByPods/JobsByUIKit@Pods	JobsByPods/JobsProgressBar@Pods	calls	15
JobsByPods/JobsCountdownButton@Pods	JobsByPods/JobsByUIKit@Pods	calls	15
JobsByPods/JobsRefresher@Pods	JobsByPods/JobsSwiftDSL@Pods	calls	14
JobsSwiftBaseConfigDemo	JobsByPods/JobsSwiftBaseTools@Pods	calls	14
JobsByPods/JobsByUIKit@Pods	JobsByPods/JobsSwiftWorker@Pods	calls	13
JobsByPods/JobsSwiftTools@Pods	JobsByPods/ManualBySwiftPods@Pods	calls	13
JobsByPods/JobsByUIKit@Pods	JobsByPods/JobsNetworking@Pods	calls	12
JobsByPods/JobsByUIKit@Pods	JobsSwiftBaseConfigDemo	calls	11
JobsByPods/JobsMarqueeView@Pods	JobsByPods/ManualBySwiftPods@Pods	calls	11
JobsByPods/JobsSwiftBaseTools@Pods	JobsByPods/ManualBySwiftPods@Pods	calls	11
JobsByPods/JobsSwiftDSL@Pods	JobsByPods/JobsSwiftTaskCenter@Pods	calls	11
JobsByPods/JobsSwiftTools@Pods	JobsByPods/BRPickerViewSwift@Pods	calls	11
JobsByPods/JobsImageTools@Pods	JobsByPods/ManualBySwiftPods@Pods	calls	10
JobsByPods/JobsSwiftTools@Pods	JobsByPods/JobsSwiftBlock@Pods	calls	10
JobsByPods/JobsSwiftTools@Pods	JobsByPods/JobsSwiftDSL@Pods	calls	10
JobsByPods/JobsByUIKit@Pods	JobsByPods/JobsSwiftBlock@Pods	calls	9
JobsByPods/JobsMarqueeView@Pods	JobsByPods/JobsByUIKit@Pods	calls	9
JobsByPods/JobsSwiftAppTools@Pods	JobsByPods/JobsBy3rdTools@Pods	calls	9
JobsByPods/JobsSwiftDSL@Pods	JobsByPods/JobsSwiftStandardLibrary@Pods	calls	9
JobsByPods/JobsSwiftTimerMgr@Pods	JobsByPods/ManualBySwiftPods@Pods	calls	9
JobsSwiftBaseConfigDemo	JobsByPods/JobsSwiftStandardLibrary@Pods	calls	9
JobsByPods/JobsByUIKit@Pods	JobsByPods/JobsImageTools@Pods	calls	8
JobsByPods/JobsInheritance@Pods	JobsByPods/JobsNavBar@Pods	calls	8
JobsByPods/JobsSwiftAppTools@Pods	JobsByPods/JobsSwiftDSL@Pods	calls	8
JobsByPods/JobsSwiftAppTools@Pods	JobsByPods/JobsTextTools@Pods	calls	8
JobsByPods/JobsSwiftAppTools@Pods	JobsByPods/ManualBySwiftPods@Pods	calls	8
JobsByPods/JobsSwiftFoundation@Pods	JobsByPods/JobsSwiftBaseDefines@Pods	calls	8
JobsSwiftBaseConfigDemo	JobsByPods/JobsSwiftTimer@Pods	calls	8
JobsByPods/JobsByUIKit@Pods	JobsByPods/JobsGetWindow@Pods	calls	7
JobsByPods/JobsEmptyView@Pods	JobsByPods/JobsByUIKit@Pods	calls	7
JobsByPods/JobsEmptyView@Pods	JobsByPods/JobsSwiftDSL@Pods	calls	7
JobsByPods/JobsInheritance@Pods	JobsByPods/JobsNetworking@Pods	calls	7
JobsByPods/JobsMarqueeView@Pods	JobsByPods/JobsSwiftDSL@Pods	calls	7
JobsByPods/JobsMarqueeView@Pods	JobsByPods/JobsSwiftTaskCenter@Pods	calls	7
JobsByPods/JobsSwiftTools@Pods	JobsByPods/JobsSwiftTaskCenter@Pods	calls	7
JobsByPods/JobsInheritance@Pods	JobsByPods/JobsBy3rdTools@Pods	calls	6
JobsByPods/JobsRefresher@Pods	JobsByPods/ManualBySwiftPods@Pods	calls	6
JobsByPods/JobsSwiftAppTools@Pods	JobsByPods/JobsSwiftBaseTools@Pods	calls	6
JobsByPods/JobsSwiftBaseDefines@Pods	JobsByPods/JobsSwiftTools@Pods	calls	6
JobsByPods/JobsSwiftBaseTools@Pods	JobsByPods/JobsSwiftTools@Pods	calls	6
JobsByPods/JobsSwiftTools@Pods	JobsByPods/JobsNetworking@Pods	calls	6
JobsByPods/JobsTextTools@Pods	JobsByPods/ManualBySwiftPods@Pods	calls	6
JobsSwiftBaseConfigDemo	JobsByPods/JobsGestureUnlock@Pods	calls	6
JobsSwiftBaseConfigDemo	JobsByPods/JobsSwiftBlock@Pods	calls	6
JobsByPods/JobsByUIKit@Pods	JobsByPods/BRPickerViewSwift@Pods	calls	5
JobsByPods/JobsRefresher@Pods	JobsByPods/JobsNavBar@Pods	calls	5
JobsByPods/JobsRefresher@Pods	JobsByPods/JobsProgressBar@Pods	calls	5
JobsByPods/JobsRefresher@Pods	JobsByPods/JobsSwiftFoundation@Pods	calls	5
JobsByPods/JobsSwiftDSL@Pods	JobsByPods/JobsBy3rdTools@Pods	calls	5
JobsByPods/JobsSwiftTaskCenter@Pods	JobsByPods/JobsByUIKit@Pods	calls	5
JobsByPods/JobsSwiftTools@Pods	JobsByPods/JobsBy3rdTools@Pods	calls	5
JobsByPods/JobsSwiftWorker@Pods	JobsByPods/ManualBySwiftPods@Pods	calls	5
JobsByPods/Jobsl10n@Pods	JobsByPods/ManualBySwiftPods@Pods	calls	5
JobsSwiftBaseConfigDemo	JobsByPods/JobsImageTools@Pods	calls	5
JobsByPods/BRPickerViewSwift@Pods	JobsByPods/JobsByUIKit@Pods	calls	4
JobsByPods/JobsByUIKit@Pods	JobsByPods/JobsRefresher@Pods	calls	4
JobsByPods/JobsByUIKit@Pods	JobsByPods/JobsSwiftBaseTools@Pods	calls	4
JobsByPods/JobsCountdownButton@Pods	JobsByPods/JobsSwiftBaseDefines@Pods	calls	4
JobsByPods/JobsCountdownButton@Pods	JobsByPods/JobsSwiftDSL@Pods	calls	4
JobsByPods/JobsImageTools@Pods	JobsByPods/JobsSwiftBaseDefines@Pods	calls	4
JobsByPods/JobsInheritance@Pods	JobsByPods/JobsSwiftBaseDefines@Pods	calls	4
JobsByPods/JobsInheritance@Pods	JobsByPods/JobsSwiftTaskCenter@Pods	calls	4
JobsByPods/JobsMarqueeView@Pods	JobsByPods/JobsBy3rdTools@Pods	calls	4
JobsByPods/JobsNavBar@Pods	JobsByPods/ManualBySwiftPods@Pods	calls	4
JobsByPods/JobsSwiftDSL@Pods	JobsByPods/BRPickerViewSwift@Pods	calls	4
JobsByPods/JobsSwiftDSL@Pods	JobsByPods/JobsNetworking@Pods	calls	4
JobsByPods/JobsSwiftDSL@Pods	JobsSwiftBaseConfigDemo	calls	4
