node_kind	node_name	file_path	start_line	inbound_count	edge_kinds
method	Plan::offset	TODO/TaskCenterComponent/Schedule/Plan.swift	507	617	calls
method	BMPlayer::byAddTo	JobsByPods/JobsBy3rdTools@Pods/BMPlayer+DSL.swift	83	534	calls
method	PDFThumbnailView::byBackgroundColor	JobsByPods/JobsByPDFKit@Pods/PDFThumbnailView.swift	33	303	calls
method	BRBasePicker::byTitle	JobsByPods/BRPickerViewSwift@Pods/Core/BRBasePicker.swift	26	298	calls
method	UIAlertAction::onTap	JobsByPods/JobsByUIKit@Pods/iOS.SDK/Others@SDK/UIAlertAction.swift	32	249	calls
method	BRPickerTheme::byTitleColor	JobsByPods/BRPickerViewSwift@Pods/Theme/BRPickerTheme.swift	71	210	calls
method	UIButton::sys	JobsByPods/JobsByUIKit@Pods/iOS.SDK/UIButton/UIButton+Init.swift	29	196	calls
method	CATextLayer::byFont	JobsByPods/JobsByQuartzCore@Pods/CATextLayer.swift	26	193	calls
method	UIListContentConfiguration::byText	JobsByPods/JobsByUIKit@Pods/iOS.SDK/Others@SDK/UIListContentConfiguration.swift	97	180	calls
function	onMainAsync	JobsByPods/JobsSwiftBaseDefines@Pods/JobsBaseMain.swift	124	179	calls
method	GKNavigationBarConfigure::byTitleFont	JobsByPods/JobsBy3rdTools@Pods/GKNavigationBarSwift+DSL.swift	119	173	calls
function	GC_printf	TODO/Unity/xcode_effectTest/Il2CppOutputProject/IL2CPP/external/bdwgc/misc.c	1791	162	calls
method	UIListContentConfiguration::byTextColor	JobsByPods/JobsByUIKit@Pods/iOS.SDK/Others@SDK/UIListContentConfiguration.swift	178	158	calls
function	g_free	TODO/Unity/xcode_effectTest/Il2CppOutputProject/IL2CPP/external/mono/mono/eglib/gmem.c	79	147	calls
method	UIView::byVisible	JobsByPods/JobsByUIKit@Pods/iOS.SDK/UIView/UIView+DSL.swift	451	139	calls
function	GC_log_printf	TODO/Unity/xcode_effectTest/Il2CppOutputProject/IL2CPP/external/bdwgc/misc.c	1815	131	calls
method	JXSegmentedIndicatorImageView::byImage	JobsByPods/JobsBy3rdTools@Pods/JXSegmentedView/JXSegmentedIndicator/JXSegmentedIndicatorImageView.swift	19	130	calls
method	JobsTaskExecutionSequence::forEach	JobsByPods/JobsSwiftTaskCenter@Pods/JobsTaskExecutionSequence.swift	115	123	calls
method	BRPickerTheme::byCornerRadius	JobsByPods/BRPickerViewSwift@Pods/Theme/BRPickerTheme.swift	77	119	calls
method	JXSegmentedView::byContentEdgeInsets	JobsByPods/JobsBy3rdTools@Pods/JXSegmentedView/JXSegmentedView.swift	79	111	calls
method	UILabel::byText	JobsByPods/JobsByUIKit@Pods/iOS.SDK/UILabel/UILabel+DSL.swift	33	105	calls
method	UIViewController::jobsSetupGKNav	JobsByPods/JobsByUIKit@Pods/iOS.SDK/UIViewController/UIViewController+GKNavigationBarSwift.swift	27	103	calls
method	JobsTaskExecutionSequence::map	JobsByPods/JobsSwiftTaskCenter@Pods/JobsTaskExecutionSequence.swift	85	95	calls
method	UIButton::byNumberOfLines	JobsByPods/JobsByUIKit@Pods/iOS.SDK/UIButton/UIButton+DSL.swift	53	85	calls
method	UIButton::bySubTitle	JobsByPods/JobsByUIKit@Pods/iOS.SDK/UIButton/UIButton+Subtitle.swift	214	74	calls
function	contains	TODO/Unity/xcode_effectTest/Il2CppOutputProject/IL2CPP/external/mono/mono/metadata/w32file-unix-glob.c	214	73	calls
method	UIView::jobs_hasVisibleTopBar	JobsByPods/JobsByUIKit@Pods/iOS.SDK/UIView/UIView+JobsNavBar.swift	45	71	calls
method	UIListContentConfiguration::byTextAlignment	JobsByPods/JobsByUIKit@Pods/iOS.SDK/Others@SDK/UIListContentConfiguration.swift	188	65	calls
function	GC_err_printf	TODO/Unity/xcode_effectTest/Il2CppOutputProject/IL2CPP/external/bdwgc/misc.c	1807	60	calls
method	UIButton::bySubTitleColor	JobsByPods/JobsByUIKit@Pods/iOS.SDK/UIButton/UIButton+Subtitle.swift	233	58	calls
function	AO_fetch_and_add1	TODO/Unity/xcode_effectTest/Il2CppOutputProject/IL2CPP/external/bdwgc/libatomic_ops/src/atomic_ops/sysdeps/gcc/arm.h	292	52	calls
method	JobsTimerManagerDemoUIBridge::log	JobsSwiftBaseConfigDemo/主业务流程/VC/SubVC/Demo@JobsTimerManager/Demo@JobsTimerManager.swift	81	52	calls
method	UIButton::bySubTitleFont	JobsByPods/JobsByUIKit@Pods/iOS.SDK/UIButton/UIButton+Subtitle.swift	225	51	calls
method	Bag::removeValue	TODO/TaskCenterComponent/Schedule/Bag.swift	75	50	calls
method	UICollectionView::byRegisterCell	JobsByPods/JobsByUIKit@Pods/iOS.SDK/UICollectionView/UICollectionView+Register.swift	31	47	calls
method	UIView::byClipsToBounds	JobsByPods/JobsByUIKit@Pods/iOS.SDK/UIView/UIView+DSL.swift	51	47	calls
method	CALayer::byMasksToBounds	JobsByPods/JobsByQuartzCore@Pods/CALayer.swift	132	46	calls
method	JobsTimer::stop	JobsByPods/JobsSwiftTimer@Pods/JobsSwiftTimer.swift	219	46	calls
method	UIButton::onLongPress	JobsByPods/JobsByUIKit@Pods/iOS.SDK/UIButton/UIButton+点按事件.swift	212	45	calls
function	GC_base	TODO/Unity/xcode_effectTest/Il2CppOutputProject/IL2CPP/external/bdwgc/misc.c	414	43	calls
method	BMPlayer::byDelegate	JobsByPods/JobsBy3rdTools@Pods/BMPlayer+DSL.swift	25	42	calls
function	GC_malloc	TODO/Unity/xcode_effectTest/Il2CppOutputProject/IL2CPP/external/bdwgc/malloc.c	345	42	calls
method	UIListContentConfiguration::jobs_mutating	JobsByPods/JobsByUIKit@Pods/iOS.SDK/Others@SDK/UIListContentConfiguration.swift	41	41	calls
method	FoldTableDemoVC::toggle	JobsSwiftBaseConfigDemo/主业务流程/VC/SubVC/Demo@UITableViewCell的折叠效果/Demo@UITableViewCell的折叠效果.swift	67	40	calls
function	GetAppController	TODO/Unity/xcode_effectTest/Classes/UnityAppController.mm	38	40	calls
method	UIButton::byTapSound	JobsByPods/JobsByUIKit@Pods/iOS.SDK/UIButton/UIButton+声音.swift	44	40	calls
method	UIScrollView::switchRefreshFooter	JobsByPods/JobsRefresher@Pods/UIScrollView+JobsRefresher.swift	158	40	calls
function	GC_noop1	TODO/Unity/xcode_effectTest/Il2CppOutputProject/IL2CPP/external/bdwgc/mark.c	54	39	calls
method	UIButton::byTitleEdgeInsets	JobsByPods/JobsByUIKit@Pods/iOS.SDK/UIButton/UIButton+DSL.swift	116	39	calls
method	BRAreaPicker::byDataSource	JobsByPods/BRPickerViewSwift@Pods/Picker/BRAreaPicker.swift	26	38	calls
method	UserDefaults::string	JobsByPods/JobsSwiftFoundation@Pods/UserDefaults.swift	52	37	calls
function	g_malloc	TODO/Unity/xcode_effectTest/Il2CppOutputProject/IL2CPP/external/mono/mono/eglib/gmem.c	114	37	calls
function	GC_add_roots_inner	TODO/Unity/xcode_effectTest/Il2CppOutputProject/IL2CPP/external/bdwgc/mark_rts.c	169	36	calls
method	AFDemoVC::show	JobsSwiftBaseConfigDemo/主业务流程/VC/SubVC/Demo@Alamofire/Demo@Alamofire.swift	373	35	calls
method	UICollectionView::byReloadData	JobsByPods/JobsByUIKit@Pods/iOS.SDK/UICollectionView/UICollectionView+DSL.swift	342	35	calls
function	AO_load	TODO/Unity/xcode_effectTest/Il2CppOutputProject/IL2CPP/external/bdwgc/libatomic_ops/src/atomic_ops/generalize-small.h	1938	33	calls
function	GC_approx_sp	TODO/Unity/xcode_effectTest/Il2CppOutputProject/IL2CPP/external/bdwgc/mark_rts.c	484	33	calls
method	JobsNetworkingDemoBaseVC::append	JobsSwiftBaseConfigDemo/主业务流程/VC/SubVC/Demo@JobsNetworking共用网络接口/JobsNetworkingDemoBaseVC.swift	72	33	calls
method	MoyaDemoVC::show	JobsSwiftBaseConfigDemo/主业务流程/VC/SubVC/Demo@Moya/Demo@Moya.swift	376	32	calls
method	UIView::byContentMode	JobsByPods/JobsByUIKit@Pods/iOS.SDK/UIView/UIView+DSL.swift	195	32	calls
