node_kind	node_name	file_path	start_line	outbound_count	edge_kinds
function	mono_metadata_compute_size	TODO/Unity/xcode_effectTest/Il2CppOutputProject/IL2CPP/external/mono/mono/metadata/metadata.c	615	126	calls
function	run_one_test	TODO/Unity/xcode_effectTest/Il2CppOutputProject/IL2CPP/external/bdwgc/tests/test.c	1269	124	calls
file	TODO/Unity/xcode_effectTest/Il2CppOutputProject/IL2CPP/external/google/sparsehash/sparsetable.h	TODO/Unity/xcode_effectTest/Il2CppOutputProject/IL2CPP/external/google/sparsehash/sparsetable.h	1	118	calls
function	mono_init_internal	TODO/Unity/xcode_effectTest/Il2CppOutputProject/IL2CPP/external/mono/mono/metadata/domain.c	516	103	calls
function	mono_class_create_runtime_vtable	TODO/Unity/xcode_effectTest/Il2CppOutputProject/IL2CPP/external/mono/mono/metadata/object.c	1994	69	calls
function	mono_marshal_get_native_wrapper	TODO/Unity/xcode_effectTest/Il2CppOutputProject/IL2CPP/external/mono/mono/metadata/marshal.c	3275	64	calls
function	mono_image_close_except_pools	TODO/Unity/xcode_effectTest/Il2CppOutputProject/IL2CPP/external/mono/mono/metadata/image.c	2582	63	calls
function	mono_type_get_name_recurse	TODO/Unity/xcode_effectTest/Il2CppOutputProject/IL2CPP/external/mono/mono/metadata/class.c	357	57	calls
function	load_cattr_value	TODO/Unity/xcode_effectTest/Il2CppOutputProject/IL2CPP/external/mono/mono/metadata/custom-attrs.c	277	53	calls
function	mono_runtime_class_init_full	TODO/Unity/xcode_effectTest/Il2CppOutputProject/IL2CPP/external/mono/mono/metadata/object.c	441	51	calls
function	check_heap_stats	TODO/Unity/xcode_effectTest/Il2CppOutputProject/IL2CPP/external/bdwgc/tests/test.c	1578	49	calls
function	mono_marshal_get_runtime_invoke_full	TODO/Unity/xcode_effectTest/Il2CppOutputProject/IL2CPP/external/mono/mono/metadata/marshal.c	2567	48	calls
function	mono_guid_signature_append_type	TODO/Unity/xcode_effectTest/Il2CppOutputProject/IL2CPP/external/mono/mono/metadata/metadata.c	8220	47	calls
function	mono_marshal_get_managed_wrapper	TODO/Unity/xcode_effectTest/Il2CppOutputProject/IL2CPP/external/mono/mono/metadata/marshal.c	3812	46	calls
function	create_custom_attr	TODO/Unity/xcode_effectTest/Il2CppOutputProject/IL2CPP/external/mono/mono/metadata/custom-attrs.c	855	44	calls
function	Profiler_FramePresent	TODO/Unity/xcode_effectTest/Classes/Unity/InternalProfiler.cpp	142	43	calls
function	mono_marshal_get_delegate_invoke_internal	TODO/Unity/xcode_effectTest/Il2CppOutputProject/IL2CPP/external/mono/mono/metadata/marshal.c	2160	43	calls
function	mono_type_get_desc	TODO/Unity/xcode_effectTest/Il2CppOutputProject/IL2CPP/external/mono/mono/metadata/debug-helpers.c	131	43	calls
file	TODO/Unity/xcode_effectTest/Il2CppOutputProject/IL2CPP/external/bdwgc/tests/test.c	TODO/Unity/xcode_effectTest/Il2CppOutputProject/IL2CPP/external/bdwgc/tests/test.c	1	42	calls
file	TODO/Unity/xcode_effectTest/Il2CppOutputProject/IL2CPP/external/mono/mono/metadata/class.h	TODO/Unity/xcode_effectTest/Il2CppOutputProject/IL2CPP/external/mono/mono/metadata/class.h	1	42	calls
function	cominterop_get_ccw_checked	TODO/Unity/xcode_effectTest/Il2CppOutputProject/IL2CPP/external/mono/mono/metadata/cominterop.c	2232	42	calls
function	dis_one	TODO/Unity/xcode_effectTest/Il2CppOutputProject/IL2CPP/external/mono/mono/metadata/debug-helpers.c	632	42	calls
function	test_extras	TODO/Unity/xcode_effectTest/Il2CppOutputProject/IL2CPP/external/bdwgc/cord/tests/cordtest.c	147	42	calls
function	mono_make_shadow_copy	TODO/Unity/xcode_effectTest/Il2CppOutputProject/IL2CPP/external/mono/mono/metadata/appdomain.c	2274	41	calls
function	inflate_generic_type	TODO/Unity/xcode_effectTest/Il2CppOutputProject/IL2CPP/external/mono/mono/metadata/class.c	669	40	calls
function	mono_gc_base_init	TODO/Unity/xcode_effectTest/Il2CppOutputProject/IL2CPP/external/mono/mono/metadata/boehm-gc.c	161	40	calls
function	ves_icall_InternalInvoke	TODO/Unity/xcode_effectTest/Il2CppOutputProject/IL2CPP/external/mono/mono/metadata/icall.c	3851	40	calls
function	reverse_test_inner	TODO/Unity/xcode_effectTest/Il2CppOutputProject/IL2CPP/external/bdwgc/tests/test.c	675	39	calls
function	mono_class_inflate_generic_method_full_checked	TODO/Unity/xcode_effectTest/Il2CppOutputProject/IL2CPP/external/mono/mono/metadata/class.c	1134	38	calls
function	mono_class_is_assignable_from_general	TODO/Unity/xcode_effectTest/Il2CppOutputProject/IL2CPP/external/mono/mono/metadata/class.c	3904	38	calls
function	verify_method_table	TODO/Unity/xcode_effectTest/Il2CppOutputProject/IL2CPP/external/mono/mono/metadata/metadata-verify.c	2636	38	calls
function	mono_image_open_a_lot_parameterized	TODO/Unity/xcode_effectTest/Il2CppOutputProject/IL2CPP/external/mono/mono/metadata/image.c	2192	37	calls
function	verify_tables_data	TODO/Unity/xcode_effectTest/Il2CppOutputProject/IL2CPP/external/mono/mono/metadata/metadata-verify.c	3859	37	calls
function	GC_init	TODO/Unity/xcode_effectTest/Il2CppOutputProject/IL2CPP/external/bdwgc/misc.c	879	36	calls
function	mono_domain_free	TODO/Unity/xcode_effectTest/Il2CppOutputProject/IL2CPP/external/mono/mono/metadata/domain.c	1155	36	calls
function	mono_runtime_init_checked	TODO/Unity/xcode_effectTest/Il2CppOutputProject/IL2CPP/external/mono/mono/metadata/appdomain.c	331	36	calls
function	ves_icall_System_Reflection_Assembly_InternalGetType	TODO/Unity/xcode_effectTest/Il2CppOutputProject/IL2CPP/external/mono/mono/metadata/icall.c	5181	36	calls
file	TODO/Unity/xcode_effectTest/Il2CppOutputProject/IL2CPP/external/mono/mono/metadata/appdomain.h	TODO/Unity/xcode_effectTest/Il2CppOutputProject/IL2CPP/external/mono/mono/metadata/appdomain.h	1	35	calls
function	mono_assembly_load_reference	TODO/Unity/xcode_effectTest/Il2CppOutputProject/IL2CPP/external/mono/mono/metadata/assembly.c	1959	34	calls
function	mono_assembly_name_parse_full	TODO/Unity/xcode_effectTest/Il2CppOutputProject/IL2CPP/external/mono/mono/metadata/assembly.c	3756	34	calls
function	mono_runtime_try_invoke_array	TODO/Unity/xcode_effectTest/Il2CppOutputProject/IL2CPP/external/mono/mono/metadata/object.c	5678	34	calls
function	mono_assembly_request_open	TODO/Unity/xcode_effectTest/Il2CppOutputProject/IL2CPP/external/mono/mono/metadata/assembly.c	2752	33	calls
function	mono_dynamic_image_create	TODO/Unity/xcode_effectTest/Il2CppOutputProject/IL2CPP/external/mono/mono/metadata/dynamic-image.c	329	33	calls
function	mono_method_signature_checked_slow	TODO/Unity/xcode_effectTest/Il2CppOutputProject/IL2CPP/external/mono/mono/metadata/loader.c	1794	33	calls
function	mono_reflection_create_custom_attr_data_args	TODO/Unity/xcode_effectTest/Il2CppOutputProject/IL2CPP/external/mono/mono/metadata/custom-attrs.c	1051	33	calls
function	do_command	TODO/Unity/xcode_effectTest/Il2CppOutputProject/IL2CPP/external/bdwgc/cord/tests/de.c	406	32	calls
function	mono_assembly_apply_binding	TODO/Unity/xcode_effectTest/Il2CppOutputProject/IL2CPP/external/mono/mono/metadata/assembly.c	4547	32	calls
function	mono_assembly_request_load_from	TODO/Unity/xcode_effectTest/Il2CppOutputProject/IL2CPP/external/mono/mono/metadata/assembly.c	3299	32	calls
function	mono_dynamic_image_free	TODO/Unity/xcode_effectTest/Il2CppOutputProject/IL2CPP/external/mono/mono/metadata/dynamic-image.c	493	32	calls
function	mono_monitor_try_enter_inflated	TODO/Unity/xcode_effectTest/Il2CppOutputProject/IL2CPP/external/mono/mono/metadata/monitor.c	805	32	calls
function	mono_delegate_end_invoke	TODO/Unity/xcode_effectTest/Il2CppOutputProject/IL2CPP/external/mono/mono/metadata/marshal.c	1945	31	calls
function	mono_field_resolve_type	TODO/Unity/xcode_effectTest/Il2CppOutputProject/IL2CPP/external/mono/mono/metadata/class.c	6363	31	calls
function	mono_method_get_name_full	TODO/Unity/xcode_effectTest/Il2CppOutputProject/IL2CPP/external/mono/mono/metadata/debug-helpers.c	872	31	calls
function	GC_generic_malloc_many	TODO/Unity/xcode_effectTest/Il2CppOutputProject/IL2CPP/external/bdwgc/mallocx.c	301	30	calls
function	mono_class_proxy_vtable	TODO/Unity/xcode_effectTest/Il2CppOutputProject/IL2CPP/external/mono/mono/metadata/object.c	2376	30	calls
function	parse_type	TODO/Unity/xcode_effectTest/Il2CppOutputProject/IL2CPP/external/mono/mono/metadata/metadata-verify.c	1341	29	calls
function	set_domain_search_path	TODO/Unity/xcode_effectTest/Il2CppOutputProject/IL2CPP/external/mono/mono/metadata/appdomain.c	1800	29	calls
function	test_basics	TODO/Unity/xcode_effectTest/Il2CppOutputProject/IL2CPP/external/bdwgc/cord/tests/cordtest.c	65	29	calls
function	mono_class_from_typeref_checked	TODO/Unity/xcode_effectTest/Il2CppOutputProject/IL2CPP/external/mono/mono/metadata/class.c	119	28	calls
function	mono_get_method_from_token	TODO/Unity/xcode_effectTest/Il2CppOutputProject/IL2CPP/external/mono/mono/metadata/loader.c	1035	28	calls
function	mono_marshal_get_synchronized_wrapper	TODO/Unity/xcode_effectTest/Il2CppOutputProject/IL2CPP/external/mono/mono/metadata/marshal.c	4328	28	calls
function	mono_marshal_load_type_info	TODO/Unity/xcode_effectTest/Il2CppOutputProject/IL2CPP/external/mono/mono/metadata/marshal.c	5675	28	calls
function	mono_reflection_create_custom_attr_data_args_noalloc	TODO/Unity/xcode_effectTest/Il2CppOutputProject/IL2CPP/external/mono/mono/metadata/custom-attrs.c	1215	28	calls
function	mono_ppdb_get_seq_points	TODO/Unity/xcode_effectTest/Il2CppOutputProject/IL2CPP/external/mono/mono/metadata/debug-mono-ppdb.c	472	27	calls
function	(void)	TODO/Unity/xcode_effectTest/Il2CppOutputProject/IL2CPP/external/mono/mono/metadata/coree.c	147	26	calls
function	do_metadata_type_dup_append_cmods	TODO/Unity/xcode_effectTest/Il2CppOutputProject/IL2CPP/external/mono/mono/metadata/metadata.c	6389	26	calls
function	mktree	TODO/Unity/xcode_effectTest/Il2CppOutputProject/IL2CPP/external/bdwgc/tests/test.c	850	26	calls
function	mono_class_from_name_checked_aux	TODO/Unity/xcode_effectTest/Il2CppOutputProject/IL2CPP/external/mono/mono/metadata/class.c	3254	26	calls
function	mono_gc_run_finalize	TODO/Unity/xcode_effectTest/Il2CppOutputProject/IL2CPP/external/mono/mono/metadata/gc.c	222	26	calls
function	mono_reflection_get_custom_attrs_info_checked	TODO/Unity/xcode_effectTest/Il2CppOutputProject/IL2CPP/external/mono/mono/metadata/custom-attrs.c	2118	26	calls
function	g_spawn_async_with_pipes	TODO/Unity/xcode_effectTest/Il2CppOutputProject/IL2CPP/external/mono/mono/eglib/gspawn.c	340	25	calls
function	ves_icall_System_Reflection_Assembly_InternalGetAssemblyName	TODO/Unity/xcode_effectTest/Il2CppOutputProject/IL2CPP/external/mono/mono/metadata/icall.c	6162	25	calls
file	TODO/Unity/xcode_effectTest/Il2CppOutputProject/IL2CPP/external/baselib/Include/Cpp/Internal/chunked_allocator.inl.h	TODO/Unity/xcode_effectTest/Il2CppOutputProject/IL2CPP/external/baselib/Include/Cpp/Internal/chunked_allocator.inl.h	1	24	calls
function	build_imt_slots	TODO/Unity/xcode_effectTest/Il2CppOutputProject/IL2CPP/external/mono/mono/metadata/object.c	1531	24	calls
function	is_valid_method_header	TODO/Unity/xcode_effectTest/Il2CppOutputProject/IL2CPP/external/mono/mono/metadata/metadata-verify.c	2283	24	calls
function	mono_field_get_value_object_checked	TODO/Unity/xcode_effectTest/Il2CppOutputProject/IL2CPP/external/mono/mono/metadata/object.c	3622	24	calls
function	mono_set_rootdir	TODO/Unity/xcode_effectTest/Il2CppOutputProject/IL2CPP/external/mono/mono/metadata/assembly.c	1053	24	calls
function	prepare_run_main	TODO/Unity/xcode_effectTest/Il2CppOutputProject/IL2CPP/external/mono/mono/metadata/object.c	4602	24	calls
function	typed_test	TODO/Unity/xcode_effectTest/Il2CppOutputProject/IL2CPP/external/bdwgc/tests/test.c	1127	24	calls
function	verify_field_table	TODO/Unity/xcode_effectTest/Il2CppOutputProject/IL2CPP/external/mono/mono/metadata/metadata-verify.c	2553	24	calls
